FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
WCherokee,CBDAtlanta,36,11,2,15,41,0,51,52,2,49,56,105
WCherokee,SEAtlanta,11,2,0,6,5,0,17,7,0,13,11,24
WCherokee,SFulton,3,0,0,2,9,0,5,9,0,3,11,14
WCherokee,Tri-Cities,12,3,0,2,33,0,14,36,0,15,35,50
WCherokee,Shannon,1,1,0,0,2,0,1,3,0,2,2,4
WCherokee,WCherokee,1258,219,0,3061,9493,0,4319,9712,0,1477,12554,14031
WCherokee,NCherokee,160,30,0,240,643,0,400,673,0,190,883,1073
WCherokee,ECentCherokee,1818,358,4,2959,10144,22,4777,10502,26,2180,13125,15305
WCherokee,Woodstock,390,70,0,278,1189,0,668,1259,0,460,1467,1927
WCherokee,Airport,1,0,0,1,4,0,2,4,0,1,5,6
WCherokee,NEClayton,4,2,0,0,5,0,4,7,0,6,5,11
WCherokee,Riverdale,1,0,0,1,3,0,2,3,0,1,4,5
WCherokee,SClayton,1,0,0,0,0,0,1,0,0,1,0,1
WCherokee,NWCobb,466,78,0,201,699,2,667,777,2,544,902,1446
WCherokee,NECobb,250,49,0,87,345,0,337,394,0,299,432,731
WCherokee,SWCobb,26,3,0,16,17,0,42,20,0,29,33,62
WCherokee,Marietta,201,29,0,77,141,0,278,170,0,230,218,448
WCherokee,Cumberland,176,33,0,47,150,0,223,183,0,209,197,406
WCherokee,SCobb,31,5,0,9,25,0,40,30,0,36,34,70
WCherokee,Chamblee,53,11,0,9,69,0,62,80,0,64,78,142
WCherokee,NWDeKalb,21,5,0,12,42,0,33,47,0,26,54,80
WCherokee,NEDeKalb,13,3,0,5,24,0,18,27,0,16,29,45
WCherokee,Atlanta-DeKalb,0,1,0,1,4,0,1,5,0,1,5,6
WCherokee,Decatur,4,0,0,0,22,0,4,22,0,4,22,26
WCherokee,SWDeKalb,3,0,0,4,5,0,7,5,0,3,9,12
WCherokee,SEDeKalb,1,0,0,0,0,0,1,0,0,1,0,1
WCherokee,SDeKalb,2,2,0,0,33,0,2,35,0,4,33,37
WCherokee,WDouglas,1,1,0,0,2,0,1,3,0,2,2,4
WCherokee,EDouglas,13,3,0,2,11,0,15,14,0,16,13,29
WCherokee,WFayette,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,EFayette,1,0,0,0,0,0,1,0,0,1,0,1
WCherokee,NGwinnett,23,1,0,15,11,0,38,12,0,24,26,50
WCherokee,CentGwinnett,51,4,0,13,18,0,64,22,0,55,31,86
WCherokee,EGwinnett,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,Norcross,52,15,0,10,38,0,62,53,0,67,48,115
WCherokee,Lilburn,3,0,0,2,8,0,5,8,0,3,10,13
WCherokee,Snellville,3,1,0,1,3,0,4,4,0,4,4,8
WCherokee,NHenry,2,0,0,3,0,0,5,0,0,2,3,5
WCherokee,EHenry,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,SHenry,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,SRockdale,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,NRockdale,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,NBarrow,1,0,0,0,0,0,1,0,0,1,0,1
WCherokee,SBarrow,1,0,0,0,0,0,1,0,0,1,0,1
WCherokee,NWBartow,43,7,0,15,49,0,58,56,0,50,64,114
WCherokee,NEBartow,165,26,0,125,452,0,290,478,0,191,577,768
WCherokee,SWBartow,22,5,0,9,26,0,31,31,0,27,35,62
WCherokee,Cartersville,385,60,0,208,579,0,593,639,0,445,787,1232
WCherokee,NECarroll,1,1,0,0,0,0,1,1,0,2,0,2
WCherokee,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,CentralCarroll,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,SECarroll,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,WCoweta,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,NCoweta,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,SCoweta,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,SECoweta,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,NForsyth,35,3,0,11,17,0,46,20,0,38,28,66
WCherokee,Cumming,107,23,0,43,96,0,150,119,0,130,139,269
WCherokee,SForsyth,95,28,0,23,43,0,118,71,0,123,66,189
WCherokee,NHall,1,1,0,0,2,0,1,3,0,2,2,4
WCherokee,Gainesville,15,2,0,3,23,0,18,25,0,17,26,43
WCherokee,SHall,13,2,0,3,10,0,16,12,0,15,13,28
WCherokee,WNewton,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,ENewton,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,NPaulding,19,3,0,8,36,0,27,39,0,22,44,66
WCherokee,WPaulding,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,EPaulding,20,0,0,11,6,0,31,6,0,20,17,37
WCherokee,NSpalding,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,SSpalding,0,0,0,0,0,0,0,0,0,0,0,0
WCherokee,WWalton,1,0,0,0,2,0,1,2,0,1,2,3
WCherokee,EWalton,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NFulton,283,58,0,82,293,0,365,351,0,341,375,716
NCherokee,Roswell,65,14,0,27,70,0,92,84,0,79,97,176
NCherokee,SandySprings,63,5,0,13,43,0,76,48,0,68,56,124
NCherokee,Buckhead,17,3,0,16,17,0,33,20,0,20,33,53
NCherokee,NWAtlanta,10,1,0,3,5,0,13,6,0,11,8,19
NCherokee,NEAtlanta,11,1,0,5,25,0,16,26,0,12,30,42
NCherokee,SWAtlanta,5,0,0,1,30,0,6,30,0,5,31,36
NCherokee,CBDAtlanta,9,1,1,3,26,0,12,27,1,11,29,40
NCherokee,SEAtlanta,2,0,0,2,9,0,4,9,0,2,11,13
NCherokee,SFulton,2,1,0,1,0,0,3,1,0,3,1,4
NCherokee,Tri-Cities,2,1,0,3,1,0,5,2,0,3,4,7
NCherokee,Shannon,2,0,0,0,0,0,2,0,0,2,0,2
NCherokee,WCherokee,179,25,0,242,672,0,421,697,0,204,914,1118
NCherokee,NCherokee,576,127,0,1437,4063,0,2013,4190,0,703,5500,6203
NCherokee,ECentCherokee,861,152,1,1075,3675,6,1936,3827,7,1014,4756,5770
NCherokee,Woodstock,143,22,0,59,168,0,202,190,0,165,227,392
NCherokee,Airport,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NEClayton,1,0,0,0,0,0,1,0,0,1,0,1
NCherokee,Riverdale,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SClayton,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NWCobb,151,18,0,75,201,0,226,219,0,169,276,445
NCherokee,NECobb,96,18,0,47,144,0,143,162,0,114,191,305
NCherokee,SWCobb,5,2,0,2,13,0,7,15,0,7,15,22
NCherokee,Marietta,62,5,0,26,98,0,88,103,0,67,124,191
NCherokee,Cumberland,56,10,0,6,70,0,62,80,0,66,76,142
NCherokee,SCobb,11,1,0,5,42,0,16,43,0,12,47,59
NCherokee,Chamblee,26,8,0,7,24,0,33,32,0,34,31,65
NCherokee,NWDeKalb,5,0,0,5,24,0,10,24,0,5,29,34
NCherokee,NEDeKalb,6,3,0,4,12,0,10,15,0,9,16,25
NCherokee,Atlanta-DeKalb,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,Decatur,0,1,0,0,2,0,0,3,0,1,2,3
NCherokee,SWDeKalb,1,0,0,0,0,0,1,0,0,1,0,1
NCherokee,SEDeKalb,1,0,0,0,2,0,1,2,0,1,2,3
NCherokee,SDeKalb,0,0,0,2,1,0,2,1,0,0,3,3
NCherokee,WDouglas,1,0,0,1,0,0,2,0,0,1,1,2
NCherokee,EDouglas,3,0,0,2,5,0,5,5,0,3,7,10
NCherokee,WFayette,1,0,0,0,0,0,1,0,0,1,0,1
NCherokee,EFayette,0,0,0,1,0,0,1,0,0,0,1,1
NCherokee,NGwinnett,47,4,0,16,74,0,63,78,0,51,90,141
NCherokee,CentGwinnett,51,4,0,18,19,0,69,23,0,55,37,92
NCherokee,EGwinnett,1,0,0,0,7,0,1,7,0,1,7,8
NCherokee,Norcross,44,3,0,11,48,0,55,51,0,47,59,106
NCherokee,Lilburn,1,0,0,2,0,0,3,0,0,1,2,3
NCherokee,Snellville,3,0,0,0,13,0,3,13,0,3,13,16
NCherokee,NHenry,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,EHenry,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SHenry,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SRockdale,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NRockdale,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NBarrow,1,0,0,0,0,0,1,0,0,1,0,1
NCherokee,SBarrow,0,1,0,0,0,0,0,1,0,1,0,1
NCherokee,NWBartow,13,3,0,3,8,0,16,11,0,16,11,27
NCherokee,NEBartow,34,4,0,10,28,0,44,32,0,38,38,76
NCherokee,SWBartow,2,1,0,0,1,0,2,2,0,3,1,4
NCherokee,Cartersville,44,10,0,17,25,0,61,35,0,54,42,96
NCherokee,NECarroll,0,0,0,0,1,0,0,1,0,0,1,1
NCherokee,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,CentralCarroll,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SECarroll,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,WCoweta,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NCoweta,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SCoweta,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SECoweta,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NForsyth,72,7,0,55,92,0,127,99,0,79,147,226
NCherokee,Cumming,220,43,0,109,345,0,329,388,0,263,454,717
NCherokee,SForsyth,131,12,0,35,61,0,166,73,0,143,96,239
NCherokee,NHall,4,0,0,0,3,0,4,3,0,4,3,7
NCherokee,Gainesville,50,8,0,8,12,0,58,20,0,58,20,78
NCherokee,SHall,14,6,0,11,7,0,25,13,0,20,18,38
NCherokee,WNewton,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,ENewton,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,NPaulding,1,0,0,1,5,0,2,5,0,1,6,7
NCherokee,WPaulding,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,EPaulding,6,1,0,4,34,0,10,35,0,7,38,45
NCherokee,NSpalding,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,SSpalding,0,0,0,0,0,0,0,0,0,0,0,0
NCherokee,WWalton,1,0,0,0,0,0,1,0,0,1,0,1
NCherokee,EWalton,0,1,0,0,0,0,0,1,0,1,0,1
ECentCherokee,NFulton,4166,751,2,2382,7986,11,6548,8737,13,4919,10379,15298
ECentCherokee,Roswell,1594,275,0,835,2793,2,2429,3068,2,1869,3630,5499
ECentCherokee,SandySprings,963,144,2,243,706,5,1206,850,7,1109,954,2063
ECentCherokee,Buckhead,463,75,2,105,428,1,568,503,3,540,534,1074
ECentCherokee,NWAtlanta,153,29,0,23,82,0,176,111,0,182,105,287
ECentCherokee,NEAtlanta,219,47,4,71,219,4,290,266,8,270,294,564
ECentCherokee,SWAtlanta,77,13,3,38,95,1,115,108,4,93,134,227
ECentCherokee,CBDAtlanta,159,32,18,48,215,2,207,247,20,209,265,474
ECentCherokee,SEAtlanta,35,7,0,20,70,1,55,77,1,42,91,133
ECentCherokee,SFulton,23,6,0,9,18,0,32,24,0,29,27,56
ECentCherokee,Tri-Cities,39,8,0,11,50,0,50,58,0,47,61,108
ECentCherokee,Shannon,14,3,0,5,7,0,19,10,0,17,12,29
ECentCherokee,WCherokee,1936,355,4,2958,10298,22,4894,10653,26,2295,13278,15573
ECentCherokee,NCherokee,907,184,1,1068,3804,6,1975,3988,7,1092,4878,5970
ECentCherokee,ECentCherokee,23242,4058,59,47156,131849,234,70398,135907,293,27359,179239,206598
ECentCherokee,Woodstock,3471,645,0,4222,14188,4,7693,14833,4,4116,18414,22530
ECentCherokee,Airport,25,10,0,3,2,0,28,12,0,35,5,40
ECentCherokee,NEClayton,28,9,0,9,5,0,37,14,0,37,14,51
ECentCherokee,Riverdale,3,3,0,3,5,0,6,8,0,6,8,14
ECentCherokee,SClayton,7,3,0,1,5,0,8,8,0,10,6,16
ECentCherokee,NWCobb,2823,497,0,1562,3978,11,4385,4475,11,3320,5551,8871
ECentCherokee,NECobb,2104,368,0,1093,3419,0,3197,3787,0,2472,4512,6984
ECentCherokee,SWCobb,164,28,0,36,149,0,200,177,0,192,185,377
ECentCherokee,Marietta,1058,187,0,358,1169,1,1416,1356,1,1245,1528,2773
ECentCherokee,Cumberland,1011,168,0,180,587,0,1191,755,0,1179,767,1946
ECentCherokee,SCobb,233,28,0,77,161,0,310,189,0,261,238,499
ECentCherokee,Chamblee,549,93,4,161,327,1,710,420,5,646,489,1135
ECentCherokee,NWDeKalb,144,34,0,49,154,1,193,188,1,178,204,382
ECentCherokee,NEDeKalb,157,32,0,42,127,0,199,159,0,189,169,358
ECentCherokee,Atlanta-DeKalb,7,1,0,3,31,0,10,32,0,8,34,42
ECentCherokee,Decatur,14,5,1,7,33,1,21,38,2,20,41,61
ECentCherokee,SWDeKalb,34,7,0,8,43,0,42,50,0,41,51,92
ECentCherokee,SEDeKalb,12,2,0,10,7,0,22,9,0,14,17,31
ECentCherokee,SDeKalb,18,7,0,12,27,0,30,34,0,25,39,64
ECentCherokee,WDouglas,25,0,0,8,9,0,33,9,0,25,17,42
ECentCherokee,EDouglas,61,12,0,9,37,0,70,49,0,73,46,119
ECentCherokee,WFayette,0,1,0,1,0,0,1,1,0,1,1,2
ECentCherokee,EFayette,4,2,0,2,17,0,6,19,0,6,19,25
ECentCherokee,NGwinnett,338,61,0,95,196,0,433,257,0,399,291,690
ECentCherokee,CentGwinnett,445,83,0,127,265,0,572,348,0,528,392,920
ECentCherokee,EGwinnett,26,5,0,15,13,0,41,18,0,31,28,59
ECentCherokee,Norcross,581,85,0,110,309,0,691,394,0,666,419,1085
ECentCherokee,Lilburn,42,11,0,12,77,0,54,88,0,53,89,142
ECentCherokee,Snellville,34,5,0,15,22,0,49,27,0,39,37,76
ECentCherokee,NHenry,6,2,0,1,3,0,7,5,0,8,4,12
ECentCherokee,EHenry,1,0,0,0,1,0,1,1,0,1,1,2
ECentCherokee,SHenry,1,0,0,0,0,0,1,0,0,1,0,1
ECentCherokee,SRockdale,1,0,0,1,5,0,2,5,0,1,6,7
ECentCherokee,NRockdale,2,1,0,0,38,0,2,39,0,3,38,41
ECentCherokee,NBarrow,9,0,0,3,5,0,12,5,0,9,8,17
ECentCherokee,SBarrow,6,1,0,1,6,0,7,7,0,7,7,14
ECentCherokee,NWBartow,141,23,0,24,124,0,165,147,0,164,148,312
ECentCherokee,NEBartow,281,59,0,139,450,0,420,509,0,340,589,929
ECentCherokee,SWBartow,100,13,0,31,57,0,131,70,0,113,88,201
ECentCherokee,Cartersville,601,111,0,214,538,0,815,649,0,712,752,1464
ECentCherokee,NECarroll,9,3,0,4,2,0,13,5,0,12,6,18
ECentCherokee,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,CentralCarroll,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,SECarroll,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,WCoweta,0,0,0,0,1,0,0,1,0,0,1,1
ECentCherokee,NCoweta,3,0,0,3,3,0,6,3,0,3,6,9
ECentCherokee,SCoweta,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,SECoweta,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,NForsyth,348,65,0,248,786,0,596,851,0,413,1034,1447
ECentCherokee,Cumming,1673,284,0,1221,4551,0,2894,4835,0,1957,5772,7729
ECentCherokee,SForsyth,1203,235,0,426,1294,0,1629,1529,0,1438,1720,3158
ECentCherokee,NHall,30,5,0,15,28,0,45,33,0,35,43,78
ECentCherokee,Gainesville,137,27,0,39,97,0,176,124,0,164,136,300
ECentCherokee,SHall,81,13,0,33,41,0,114,54,0,94,74,168
ECentCherokee,WNewton,0,0,0,1,2,0,1,2,0,0,3,3
ECentCherokee,ENewton,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,NPaulding,113,16,0,19,116,0,132,132,0,129,135,264
ECentCherokee,WPaulding,11,3,0,3,21,0,14,24,0,14,24,38
ECentCherokee,EPaulding,141,15,0,41,103,0,182,118,0,156,144,300
ECentCherokee,NSpalding,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,SSpalding,0,0,0,0,0,0,0,0,0,0,0,0
ECentCherokee,WWalton,3,2,0,2,20,0,5,22,0,5,22,27
ECentCherokee,EWalton,4,0,0,0,1,0,4,1,0,4,1,5
Woodstock,NFulton,2569,429,2,1375,4497,3,3944,4926,5,3000,5875,8875
Woodstock,Roswell,1858,294,3,1148,3517,2,3006,3811,5,2155,4667,6822
Woodstock,SandySprings,1261,226,13,317,886,10,1578,1112,23,1500,1213,2713
Woodstock,Buckhead,786,90,8,121,370,0,907,460,8,884,491,1375
Woodstock,NWAtlanta,289,63,2,42,100,0,331,163,2,354,142,496
Woodstock,NEAtlanta,408,70,20,87,280,10,495,350,30,498,377,875
Woodstock,SWAtlanta,172,32,1,41,75,2,213,107,3,205,118,323
Woodstock,CBDAtlanta,422,76,76,48,186,5,470,262,81,574,239,813
Woodstock,SEAtlanta,78,26,3,25,95,0,103,121,3,107,120,227
Woodstock,SFulton,43,12,1,13,18,0,56,30,1,56,31,87
Woodstock,Tri-Cities,93,20,0,18,72,0,111,92,0,113,90,203
Woodstock,Shannon,38,3,0,6,16,0,44,19,0,41,22,63
Woodstock,WCherokee,390,82,0,280,1267,0,670,1349,0,472,1547,2019
Woodstock,NCherokee,147,21,0,46,174,0,193,195,0,168,220,388
Woodstock,ECentCherokee,3708,725,0,4282,14379,4,7990,15104,4,4433,18665,23098
Woodstock,Woodstock,15382,2911,0,39300,104915,0,54682,107826,0,18293,144215,162508
Woodstock,Airport,49,13,12,4,25,0,53,38,12,74,29,103
Woodstock,NEClayton,55,19,0,7,15,0,62,34,0,74,22,96
Woodstock,Riverdale,12,4,0,5,33,0,17,37,0,16,38,54
Woodstock,SClayton,12,2,0,5,15,0,17,17,0,14,20,34
Woodstock,NWCobb,7842,1434,13,9295,27302,21,17137,28736,34,9289,36618,45907
Woodstock,NECobb,4665,924,1,5630,17168,2,10295,18092,3,5590,22800,28390
Woodstock,SWCobb,323,67,0,139,436,0,462,503,0,390,575,965
Woodstock,Marietta,2026,385,6,1130,3250,12,3156,3635,18,2417,4392,6809
Woodstock,Cumberland,1842,320,3,380,1413,1,2222,1733,4,2165,1794,3959
Woodstock,SCobb,364,57,0,130,289,0,494,346,0,421,419,840
Woodstock,Chamblee,646,134,10,144,417,1,790,551,11,790,562,1352
Woodstock,NWDeKalb,255,52,2,59,154,3,314,206,5,309,216,525
Woodstock,NEDeKalb,188,25,0,49,109,0,237,134,0,213,158,371
Woodstock,Atlanta-DeKalb,30,8,1,5,28,0,35,36,1,39,33,72
Woodstock,Decatur,32,10,3,4,28,0,36,38,3,45,32,77
Woodstock,SWDeKalb,37,3,0,12,34,0,49,37,0,40,46,86
Woodstock,SEDeKalb,22,0,0,10,35,0,32,35,0,22,45,67
Woodstock,SDeKalb,35,8,0,10,36,0,45,44,0,43,46,89
Woodstock,WDouglas,55,6,0,15,43,0,70,49,0,61,58,119
Woodstock,EDouglas,118,21,0,31,99,0,149,120,0,139,130,269
Woodstock,WFayette,5,0,0,7,9,0,12,9,0,5,16,21
Woodstock,EFayette,10,1,0,0,15,0,10,16,0,11,15,26
Woodstock,NGwinnett,123,14,0,29,21,0,152,35,0,137,50,187
Woodstock,CentGwinnett,241,59,0,63,153,0,304,212,0,300,216,516
Woodstock,EGwinnett,11,1,0,2,13,0,13,14,0,12,15,27
Woodstock,Norcross,619,95,1,85,246,0,704,341,1,715,331,1046
Woodstock,Lilburn,38,4,0,14,38,0,52,42,0,42,52,94
Woodstock,Snellville,17,5,0,7,8,0,24,13,0,22,15,37
Woodstock,NHenry,8,0,0,5,7,0,13,7,0,8,12,20
Woodstock,EHenry,1,1,0,2,0,0,3,1,0,2,2,4
Woodstock,SHenry,3,0,0,2,4,0,5,4,0,3,6,9
Woodstock,SRockdale,3,1,0,1,1,0,4,2,0,4,2,6
Woodstock,NRockdale,6,1,0,2,6,0,8,7,0,7,8,15
Woodstock,NBarrow,0,0,0,0,0,0,0,0,0,0,0,0
Woodstock,SBarrow,4,0,0,2,2,0,6,2,0,4,4,8
Woodstock,NWBartow,80,18,0,17,75,0,97,93,0,98,92,190
Woodstock,NEBartow,113,21,0,49,123,0,162,144,0,134,172,306
Woodstock,SWBartow,147,27,0,58,277,0,205,304,0,174,335,509
Woodstock,Cartersville,884,172,0,422,1347,1,1306,1519,1,1056,1770,2826
Woodstock,NECarroll,22,5,0,7,29,0,29,34,0,27,36,63
Woodstock,WCarroll,1,0,0,0,0,0,1,0,0,1,0,1
Woodstock,CentralCarroll,7,3,0,2,9,0,9,12,0,10,11,21
Woodstock,SECarroll,0,0,0,0,1,0,0,1,0,0,1,1
Woodstock,WCoweta,1,0,0,0,0,0,1,0,0,1,0,1
Woodstock,NCoweta,7,1,0,3,2,0,10,3,0,8,5,13
Woodstock,SCoweta,1,0,0,0,0,0,1,0,0,1,0,1
Woodstock,SECoweta,0,0,0,0,0,0,0,0,0,0,0,0
Woodstock,NForsyth,60,13,0,26,59,0,86,72,0,73,85,158
Woodstock,Cumming,313,44,0,65,258,0,378,302,0,357,323,680
Woodstock,SForsyth,372,55,0,72,220,0,444,275,0,427,292,719
Woodstock,NHall,3,1,0,6,13,0,9,14,0,4,19,23
Woodstock,Gainesville,35,2,0,2,9,0,37,11,0,37,11,48
Woodstock,SHall,12,3,0,8,7,0,20,10,0,15,15,30
Woodstock,WNewton,2,0,0,0,1,0,2,1,0,2,1,3
Woodstock,ENewton,0,1,0,0,0,0,0,1,0,1,0,1
Woodstock,NPaulding,299,71,0,149,668,0,448,739,0,370,817,1187
Woodstock,WPaulding,26,4,0,13,42,0,39,46,0,30,55,85
Woodstock,EPaulding,287,67,0,92,283,0,379,350,0,354,375,729
Woodstock,NSpalding,0,1,0,0,0,0,0,1,0,1,0,1
Woodstock,SSpalding,0,0,0,0,0,0,0,0,0,0,0,0
Woodstock,WWalton,5,1,0,0,0,0,5,1,0,6,0,6
Woodstock,EWalton,0,0,0,0,9,0,0,9,0,0,9,9
Airport,NFulton,43,12,3,7,22,0,50,34,3,58,29,87
Airport,Roswell,55,8,11,6,11,0,61,19,11,74,17,91
Airport,SandySprings,209,49,92,16,25,4,225,74,96,350,45,395
Airport,Buckhead,529,99,277,45,57,26,574,156,303,905,128,1033
Airport,NWAtlanta,482,79,194,79,126,15,561,205,209,755,220,975
Airport,NEAtlanta,969,178,493,231,230,65,1200,408,558,1640,526,2166
Airport,SWAtlanta,1359,271,384,546,890,104,1905,1161,488,2014,1540,3554
Airport,CBDAtlanta,796,157,436,257,307,226,1053,464,662,1389,790,2179
Airport,SEAtlanta,1505,288,270,994,1497,85,2499,1785,355,2063,2576,4639
Airport,SFulton,628,99,28,206,631,3,834,730,31,755,840,1595
Airport,Tri-Cities,3001,518,209,4015,4483,222,7016,5001,431,3728,8720,12448
Airport,Shannon,2437,483,119,1826,4535,94,4263,5018,213,3039,6455,9494
Airport,WCherokee,2,1,0,1,4,0,3,5,0,3,5,8
Airport,NCherokee,0,0,0,0,0,0,0,0,0,0,0,0
Airport,ECentCherokee,18,5,0,2,0,0,20,5,0,23,2,25
Airport,Woodstock,53,10,12,4,5,0,57,15,12,75,9,84
Airport,Airport,4295,753,70,7382,8116,84,11677,8869,154,5118,15582,20700
Airport,NEClayton,2905,532,71,2387,3549,33,5292,4081,104,3508,5969,9477
Airport,Riverdale,3440,611,182,2945,6490,120,6385,7101,302,4233,9555,13788
Airport,SClayton,1411,257,68,370,1104,14,1781,1361,82,1736,1488,3224
Airport,NWCobb,130,34,15,11,14,0,141,48,15,179,25,204
Airport,NECobb,122,28,25,14,25,0,136,53,25,175,39,214
Airport,SWCobb,137,22,13,15,38,0,152,60,13,172,53,225
Airport,Marietta,102,10,13,17,20,0,119,30,13,125,37,162
Airport,Cumberland,394,74,86,39,65,7,433,139,93,554,111,665
Airport,SCobb,472,67,102,53,132,4,525,199,106,641,189,830
Airport,Chamblee,330,73,241,22,72,14,352,145,255,644,108,752
Airport,NWDeKalb,463,93,174,75,64,11,538,157,185,730,150,880
Airport,NEDeKalb,410,81,194,30,71,12,440,152,206,685,113,798
Airport,Atlanta-DeKalb,306,37,121,57,66,22,363,103,143,464,145,609
Airport,Decatur,134,24,92,12,22,6,146,46,98,250,40,290
Airport,SWDeKalb,779,120,193,104,189,16,883,309,209,1092,309,1401
Airport,SEDeKalb,625,117,179,42,186,6,667,303,185,921,234,1155
Airport,SDeKalb,1077,170,117,224,469,6,1301,639,123,1364,699,2063
Airport,WDouglas,252,38,17,29,31,0,281,69,17,307,60,367
Airport,EDouglas,369,52,69,46,136,1,415,188,70,490,183,673
Airport,WFayette,437,70,18,79,255,5,516,325,23,525,339,864
Airport,EFayette,815,141,20,327,697,2,1142,838,22,976,1026,2002
Airport,NGwinnett,39,9,8,7,10,0,46,19,8,56,17,73
Airport,CentGwinnett,116,42,40,14,18,0,130,60,40,198,32,230
Airport,EGwinnett,41,11,7,2,2,0,43,13,7,59,4,63
Airport,Norcross,129,34,73,15,8,1,144,42,74,236,24,260
Airport,Lilburn,105,19,19,8,4,0,113,23,19,143,12,155
Airport,Snellville,107,18,13,5,9,1,112,27,14,138,15,153
Airport,NHenry,733,122,38,137,324,0,870,446,38,893,461,1354
Airport,EHenry,262,51,5,30,75,0,292,126,5,318,105,423
Airport,SHenry,724,117,15,67,227,1,791,344,16,856,295,1151
Airport,SRockdale,171,17,6,12,22,0,183,39,6,194,34,228
Airport,NRockdale,161,32,17,3,8,0,164,40,17,210,11,221
Airport,NBarrow,3,2,0,0,0,0,3,2,0,5,0,5
Airport,SBarrow,3,0,0,0,1,0,3,1,0,3,1,4
Airport,NWBartow,0,0,0,0,0,0,0,0,0,0,0,0
Airport,NEBartow,0,0,0,1,1,0,1,1,0,0,2,2
Airport,SWBartow,3,0,0,0,0,0,3,0,0,3,0,3
Airport,Cartersville,7,0,0,4,2,0,11,2,0,7,6,13
Airport,NECarroll,26,6,2,8,7,0,34,13,2,34,15,49
Airport,WCarroll,12,0,0,3,6,0,15,6,0,12,9,21
Airport,CentralCarroll,83,12,0,5,5,0,88,17,0,95,10,105
Airport,SECarroll,7,2,0,2,4,0,9,6,0,9,6,15
Airport,WCoweta,119,16,1,8,24,0,127,40,1,136,32,168
Airport,NCoweta,631,79,40,69,124,0,700,203,40,750,193,943
Airport,SCoweta,47,6,1,9,28,0,56,34,1,54,37,91
Airport,SECoweta,82,22,1,13,21,1,95,43,2,105,35,140
Airport,NForsyth,2,0,0,0,0,0,2,0,0,2,0,2
Airport,Cumming,8,1,1,2,0,0,10,1,1,10,2,12
Airport,SForsyth,9,2,3,1,0,1,10,2,4,14,2,16
Airport,NHall,0,0,0,0,0,0,0,0,0,0,0,0
Airport,Gainesville,0,0,0,1,0,0,1,0,0,0,1,1
Airport,SHall,3,1,2,0,4,0,3,5,2,6,4,10
Airport,WNewton,205,32,7,11,9,1,216,41,8,244,21,265
Airport,ENewton,10,2,0,0,1,0,10,3,0,12,1,13
